iorig,x,y,z,vx,vy,vz,u,h,alpha,divv
1,0.00390625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.002454122852299201,0.0,3.749805137617738,0.019106261,0.0,-4.9808904e-09
2,0.01953125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.012241067519961192,0.0,3.749805137617738,0.019106261,0.0,-2.4844486e-08
3,0.03515625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.021910124015757003,0.0,3.749805137617738,0.019106261,0.0,-4.4468816e-08
4,0.05078125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.03136817403998758,0.0,3.749805137617738,0.019106261,0.0,-6.3664885e-08
5,0.06640625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.040524131400622915,0.0,3.749805137617738,0.019106261,0.0,-8.224783e-08
6,0.08203125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.04928981922312411,0.0,3.749805137617738,0.019106261,0.0,-1.00038676e-07
7,0.09765625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.057580819141947515,0.0,3.749805137617738,0.019106261,0.0,-1.16866104e-07
8,0.11328125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.06531728429555278,0.0,3.749805137617738,0.019106261,0.0,-1.3256805e-07
9,0.12890625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.07242470829532814,0.0,3.749805137617738,0.019106261,0.0,-1.4699327e-07
10,0.14453125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.07883464276284215,0.0,3.749805137617738,0.019106261,0.0,-1.6000288e-07
11,0.16015625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.08448535652514562,0.0,3.749805137617738,0.019106261,0.0,-1.7147158e-07
12,0.17578125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.08932243011971287,0.0,3.749805137617738,0.019106261,0.0,-1.8128891e-07
13,0.19140625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.09329927988361453,0.0,3.749805137617738,0.019106261,0.0,-1.8936034e-07
14,0.20703125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.09637760657965672,0.0,3.749805137617738,0.019106261,0.0,-1.9560811e-07
15,0.22265625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.09852776423897185,0.0,3.749805137617738,0.019106261,0.0,-1.9997208e-07
16,0.23828125,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.0997290456679048,0.0,3.749805137617738,0.019106261,0.0,-2.0241019e-07
17,0.25390625,0.0033782777871320785,-0.14671422938545076,-0.49994803399773846,0.0999698818696077,0.0,3.749805137617738,0.019106261,0.0,-2.02899e-07
